Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Loss per User,Resolution Speed
China,2019,Phishing,Education,80.53,773169,Hacker Group,Unpatched Software,VPN,63.0,0.00010415575378733498,Medium (24-72h)
China,2019,Ransomware,Retail,62.19,295961,Hacker Group,Unpatched Software,Firewall,71.0,0.0002101290372718027,Medium (24-72h)
India,2017,Man-in-the-Middle,IT,38.65,605895,Hacker Group,Weak Passwords,VPN,20.0,6.378993059853605e-05,Fast (<24h)
UK,2024,Ransomware,Telecommunications,41.44,659320,Nation-state,Social Engineering,AI-based Detection,7.0,6.285263604926287e-05,Fast (<24h)
Germany,2018,Man-in-the-Middle,IT,74.41,810682,Insider,Social Engineering,VPN,68.0,9.178691521459709e-05,Medium (24-72h)
Germany,2017,Man-in-the-Middle,Retail,98.24,285201,Unknown,Social Engineering,Antivirus,25.0,0.00034445882027061615,Medium (24-72h)
Germany,2016,DDoS,Telecommunications,33.26,431262,Insider,Unpatched Software,VPN,34.0,7.712249166400007e-05,Medium (24-72h)
France,2018,SQL Injection,Government,59.23,909991,Unknown,Social Engineering,Antivirus,66.0,6.508855582088174e-05,Medium (24-72h)
India,2016,Man-in-the-Middle,Banking,16.88,698249,Unknown,Social Engineering,VPN,47.0,2.4174757142509333e-05,Medium (24-72h)
UK,2023,DDoS,Healthcare,69.14,685927,Hacker Group,Unpatched Software,Firewall,58.0,0.00010079789831862575,Medium (24-72h)
China,2019,Phishing,Telecommunications,88.67,493675,Unknown,Zero-day,VPN,29.0,0.00017961209297614827,Medium (24-72h)
China,2016,SQL Injection,Healthcare,38.81,920768,Hacker Group,Unpatched Software,AI-based Detection,27.0,4.214959685827483e-05,Medium (24-72h)
India,2019,Ransomware,Education,30.56,583204,Insider,Zero-day,Firewall,37.0,5.2400189299113175e-05,Medium (24-72h)
France,2023,DDoS,Healthcare,58.37,599797,Nation-state,Unpatched Software,AI-based Detection,35.0,9.731625866751583e-05,Medium (24-72h)
France,2024,DDoS,IT,48.01,922258,Unknown,Social Engineering,Encryption,64.0,5.205701658321207e-05,Medium (24-72h)
Australia,2022,Phishing,Banking,64.31,120789,Nation-state,Zero-day,Encryption,36.0,0.0005324160312611248,Medium (24-72h)
Russia,2017,Man-in-the-Middle,Healthcare,13.04,850158,Hacker Group,Unpatched Software,AI-based Detection,67.0,1.5338325346582633e-05,Medium (24-72h)
India,2015,DDoS,IT,93.14,805278,Insider,Social Engineering,Encryption,56.0,0.0001156619204796356,Medium (24-72h)
UK,2019,Malware,Telecommunications,14.01,578443,Insider,Social Engineering,Firewall,28.0,2.422019109920943e-05,Medium (24-72h)
India,2016,DDoS,IT,36.45,261808,Nation-state,Social Engineering,AI-based Detection,6.0,0.00013922416427305509,Fast (<24h)
Brazil,2015,Ransomware,Retail,49.55,920172,Hacker Group,Weak Passwords,Antivirus,43.0,5.3848628299926535e-05,Medium (24-72h)
France,2023,Ransomware,Education,17.72,261661,Insider,Social Engineering,VPN,11.0,6.772121179694337e-05,Fast (<24h)
India,2017,DDoS,Government,76.71,246205,Nation-state,Unpatched Software,Firewall,30.0,0.00031156962693690217,Medium (24-72h)
Japan,2022,Phishing,Telecommunications,20.42,186148,Nation-state,Weak Passwords,Antivirus,32.0,0.0001096976599265101,Medium (24-72h)
Brazil,2023,DDoS,Telecommunications,51.84,699007,Hacker Group,Social Engineering,VPN,30.0,7.416234744430313e-05,Medium (24-72h)
China,2021,Phishing,Retail,51.06,628562,Insider,Zero-day,AI-based Detection,52.0,8.123303667736835e-05,Medium (24-72h)
Japan,2022,Malware,Education,53.04,570494,Nation-state,Unpatched Software,VPN,53.0,9.297205579725641e-05,Medium (24-72h)
Japan,2022,Ransomware,Banking,26.17,937653,Insider,Unpatched Software,Encryption,24.0,2.7910111736431284e-05,Fast (<24h)
France,2020,Malware,IT,87.32,599757,Unknown,Social Engineering,Antivirus,9.0,0.00014559229821411003,Fast (<24h)
Australia,2015,DDoS,Government,82.7,904805,Hacker Group,Zero-day,Encryption,61.0,9.140090958825382e-05,Medium (24-72h)
UK,2022,SQL Injection,Education,66.24,678876,Hacker Group,Social Engineering,AI-based Detection,11.0,9.757304721333498e-05,Fast (<24h)
France,2020,Malware,Telecommunications,18.38,246900,Hacker Group,Zero-day,AI-based Detection,34.0,7.444309437019035e-05,Medium (24-72h)
India,2015,SQL Injection,IT,42.99,85255,Unknown,Unpatched Software,Encryption,61.0,0.0005042519500322561,Medium (24-72h)
Japan,2022,Phishing,Banking,98.47,972469,Nation-state,Zero-day,Antivirus,21.0,0.00010125772646737325,Fast (<24h)
Brazil,2023,Phishing,Healthcare,14.51,113777,Nation-state,Weak Passwords,VPN,27.0,0.00012753016866326233,Medium (24-72h)
Brazil,2020,Phishing,Banking,17.75,739540,Hacker Group,Zero-day,Encryption,31.0,2.40014062795792e-05,Medium (24-72h)
China,2020,Man-in-the-Middle,Education,19.81,722788,Nation-state,Zero-day,Firewall,70.0,2.7407759951742418e-05,Medium (24-72h)
Japan,2021,SQL Injection,Retail,82.52,214372,Insider,Unpatched Software,Encryption,12.0,0.0003849383314985166,Fast (<24h)
USA,2022,DDoS,Retail,32.53,235314,Insider,Weak Passwords,AI-based Detection,62.0,0.000138240818650824,Medium (24-72h)
Brazil,2016,DDoS,Education,96.98,140812,Nation-state,Unpatched Software,VPN,71.0,0.000688719711388234,Medium (24-72h)
Russia,2015,DDoS,Telecommunications,96.39,238356,Unknown,Zero-day,AI-based Detection,3.0,0.0004043951064793838,Fast (<24h)
India,2021,SQL Injection,IT,98.09,826976,Nation-state,Zero-day,VPN,57.0,0.00011861287389234996,Medium (24-72h)
UK,2019,Man-in-the-Middle,Retail,39.77,757694,Nation-state,Unpatched Software,Encryption,69.0,5.2488207640551464e-05,Medium (24-72h)
USA,2017,DDoS,IT,74.12,403108,Hacker Group,Zero-day,VPN,64.0,0.00018387131984480586,Medium (24-72h)
Australia,2020,DDoS,Banking,92.95,942890,Insider,Weak Passwords,Antivirus,19.0,9.857989797325246e-05,Fast (<24h)
France,2022,Malware,Healthcare,20.33,794906,Unknown,Weak Passwords,AI-based Detection,36.0,2.5575351047796844e-05,Medium (24-72h)
Australia,2016,SQL Injection,Government,27.33,481293,Hacker Group,Unpatched Software,Antivirus,65.0,5.678453665438724e-05,Medium (24-72h)
India,2016,DDoS,Education,21.01,602692,Hacker Group,Unpatched Software,VPN,29.0,3.4860260298792755e-05,Medium (24-72h)
UK,2018,Man-in-the-Middle,Retail,13.66,455529,Hacker Group,Zero-day,Firewall,40.0,2.9987113882980008e-05,Medium (24-72h)
Japan,2017,Phishing,Telecommunications,75.84,383395,Hacker Group,Zero-day,VPN,31.0,0.00019781165638571186,Medium (24-72h)
USA,2023,DDoS,Retail,59.69,113612,Hacker Group,Zero-day,VPN,70.0,0.000525384642467345,Medium (24-72h)
Australia,2019,Malware,Government,21.72,984411,Insider,Unpatched Software,Antivirus,17.0,2.2063954994407822e-05,Fast (<24h)
UK,2015,Phishing,IT,85.58,17229,Hacker Group,Weak Passwords,AI-based Detection,30.0,0.00496720645423414,Medium (24-72h)
France,2018,Phishing,Healthcare,75.11,581303,Insider,Social Engineering,Encryption,51.0,0.00012920972367250815,Medium (24-72h)
India,2019,Man-in-the-Middle,Education,10.8,799474,Nation-state,Zero-day,AI-based Detection,23.0,1.3508882089974158e-05,Fast (<24h)
India,2020,DDoS,Banking,86.27,898655,Nation-state,Unpatched Software,AI-based Detection,10.0,9.599902075880064e-05,Fast (<24h)
UK,2021,Malware,Healthcare,67.1,698852,Unknown,Weak Passwords,Antivirus,57.0,9.601460681231504e-05,Medium (24-72h)
India,2018,DDoS,Healthcare,76.43,304162,Hacker Group,Unpatched Software,Firewall,56.0,0.00025128056759226994,Medium (24-72h)
Brazil,2015,Phishing,Banking,43.4,191625,Hacker Group,Social Engineering,VPN,65.0,0.00022648401826484018,Medium (24-72h)
Australia,2024,Phishing,Education,93.32,93185,Unknown,Unpatched Software,VPN,14.0,0.0010014487310189407,Fast (<24h)
India,2019,Phishing,Healthcare,35.6,40718,Nation-state,Zero-day,VPN,24.0,0.0008743062036445799,Fast (<24h)
China,2015,Phishing,Government,42.73,310574,Nation-state,Zero-day,Firewall,65.0,0.00013758395744653448,Medium (24-72h)
India,2024,DDoS,Education,73.37,475719,Nation-state,Social Engineering,Firewall,52.0,0.00015422970282877077,Medium (24-72h)
UK,2018,Malware,Retail,73.18,404060,Unknown,Weak Passwords,Antivirus,32.0,0.00018111171608177005,Medium (24-72h)
China,2024,Malware,Education,72.35,132726,Hacker Group,Zero-day,Firewall,55.0,0.0005451079667887226,Medium (24-72h)
UK,2016,DDoS,Banking,87.68,336376,Nation-state,Social Engineering,Firewall,11.0,0.0002606606892287203,Fast (<24h)
Australia,2022,Malware,Healthcare,67.16,566437,Unknown,Weak Passwords,Encryption,63.0,0.00011856570104000974,Medium (24-72h)
Russia,2017,Man-in-the-Middle,Education,83.43,313631,Nation-state,Weak Passwords,Antivirus,16.0,0.0002660132448641876,Fast (<24h)
France,2016,DDoS,Banking,28.66,996004,Unknown,Zero-day,VPN,28.0,2.8774984839418315e-05,Medium (24-72h)
China,2021,Phishing,Healthcare,55.04,871600,Insider,Unpatched Software,Firewall,29.0,6.314823313446535e-05,Medium (24-72h)
Brazil,2015,DDoS,IT,43.51,940656,Unknown,Weak Passwords,AI-based Detection,41.0,4.6254953989556224e-05,Medium (24-72h)
USA,2015,Ransomware,Telecommunications,20.73,297209,Nation-state,Social Engineering,Firewall,66.0,6.97488972406623e-05,Medium (24-72h)
UK,2019,Phishing,IT,78.19,28321,Insider,Unpatched Software,Antivirus,63.0,0.0027608488400833304,Medium (24-72h)
Brazil,2022,Phishing,Telecommunications,29.02,456783,Nation-state,Zero-day,Encryption,10.0,6.353126101452988e-05,Fast (<24h)
Germany,2018,Ransomware,Banking,87.56,933028,Nation-state,Unpatched Software,VPN,25.0,9.384498643127537e-05,Medium (24-72h)
Australia,2023,Phishing,Telecommunications,24.65,221512,Nation-state,Zero-day,AI-based Detection,56.0,0.00011128065296688215,Medium (24-72h)
France,2017,Phishing,Banking,17.88,16585,Hacker Group,Unpatched Software,Encryption,12.0,0.0010780826047633403,Fast (<24h)
USA,2022,Ransomware,Education,21.01,787752,Nation-state,Weak Passwords,Antivirus,9.0,2.6670830413632718e-05,Fast (<24h)
Russia,2022,SQL Injection,Banking,60.25,662517,Unknown,Social Engineering,Firewall,40.0,9.094106264443026e-05,Medium (24-72h)
Brazil,2018,Malware,Education,6.63,274509,Hacker Group,Zero-day,Encryption,20.0,2.415221358862551e-05,Fast (<24h)
France,2024,Phishing,Government,5.8,508649,Hacker Group,Unpatched Software,Firewall,66.0,1.1402755141561273e-05,Medium (24-72h)
Brazil,2021,DDoS,IT,70.26,740257,Unknown,Weak Passwords,Encryption,70.0,9.49129829234982e-05,Medium (24-72h)
Australia,2024,Malware,Healthcare,62.08,969504,Hacker Group,Social Engineering,AI-based Detection,5.0,6.403274251576064e-05,Fast (<24h)
Germany,2016,Man-in-the-Middle,Healthcare,90.2,779494,Nation-state,Social Engineering,AI-based Detection,54.0,0.00011571609274734636,Medium (24-72h)
Japan,2019,Malware,Banking,44.17,605166,Insider,Weak Passwords,Encryption,27.0,7.298823793802032e-05,Medium (24-72h)
France,2023,Malware,Government,55.18,274946,Insider,Zero-day,Encryption,66.0,0.0002006939544492373,Medium (24-72h)
Japan,2019,Man-in-the-Middle,Banking,41.32,645097,Nation-state,Zero-day,Firewall,36.0,6.405238281994801e-05,Medium (24-72h)
UK,2015,DDoS,Telecommunications,32.92,157678,Nation-state,Unpatched Software,Antivirus,68.0,0.00020877991856822132,Medium (24-72h)
Brazil,2022,DDoS,Retail,15.16,157034,Nation-state,Social Engineering,AI-based Detection,69.0,9.653960288854642e-05,Medium (24-72h)
India,2020,SQL Injection,Education,62.5,550656,Nation-state,Weak Passwords,Encryption,4.0,0.0001135009879125988,Fast (<24h)
Australia,2017,SQL Injection,Healthcare,68.91,634048,Hacker Group,Unpatched Software,Firewall,66.0,0.00010868262339759765,Medium (24-72h)
UK,2023,DDoS,Banking,81.26,547495,Nation-state,Weak Passwords,AI-based Detection,3.0,0.0001484214467712034,Fast (<24h)
UK,2024,DDoS,Healthcare,58.31,487694,Hacker Group,Weak Passwords,Antivirus,41.0,0.00011956267659639037,Medium (24-72h)
France,2023,Man-in-the-Middle,Retail,88.65,427067,Hacker Group,Unpatched Software,Antivirus,42.0,0.00020757867032573343,Medium (24-72h)
Australia,2023,Malware,Telecommunications,1.51,954902,Hacker Group,Unpatched Software,AI-based Detection,55.0,1.5813141034367925e-06,Medium (24-72h)
UK,2020,Ransomware,Banking,49.23,128594,Nation-state,Weak Passwords,Firewall,53.0,0.00038283279157658986,Medium (24-72h)
Germany,2024,Phishing,Healthcare,84.53,189430,Nation-state,Social Engineering,Firewall,1.0,0.000446233437153566,Fast (<24h)
France,2021,DDoS,Healthcare,90.63,603327,Nation-state,Unpatched Software,AI-based Detection,15.0,0.00015021704647728346,Fast (<24h)
UK,2021,DDoS,Education,80.26,276593,Nation-state,Social Engineering,Encryption,36.0,0.00029017364864620583,Medium (24-72h)
Japan,2023,Malware,Education,22.87,975282,Insider,Unpatched Software,Firewall,49.0,2.3449627902493843e-05,Medium (24-72h)
India,2018,Ransomware,Retail,23.79,486810,Hacker Group,Unpatched Software,Antivirus,11.0,4.8869168669501444e-05,Fast (<24h)
Japan,2021,Ransomware,IT,35.43,969517,Hacker Group,Weak Passwords,Firewall,25.0,3.654396983240108e-05,Medium (24-72h)
Australia,2022,Malware,Banking,74.77,151599,Insider,Zero-day,Encryption,18.0,0.0004932090581072434,Fast (<24h)
Japan,2022,SQL Injection,IT,66.66,749545,Unknown,Social Engineering,AI-based Detection,30.0,8.893395326498076e-05,Medium (24-72h)
Brazil,2015,Malware,Retail,78.13,71743,Hacker Group,Unpatched Software,VPN,35.0,0.0010890261070766484,Medium (24-72h)
Germany,2018,Phishing,Banking,11.39,969684,Hacker Group,Weak Passwords,Antivirus,41.0,1.174609460401533e-05,Medium (24-72h)
Germany,2020,SQL Injection,Education,87.84,842506,Unknown,Weak Passwords,Antivirus,19.0,0.00010426038508924566,Fast (<24h)
