Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Loss per User,Resolution Speed,Cluster,Threat Profile
China,2019,Phishing,Education,80.53,773169,Hacker Group,Unpatched Software,VPN,63.0,0.0001041557537873,Medium (24-72h),5,Critical: High Impact on Both
China,2019,Ransomware,Retail,62.19,295961,Hacker Group,Unpatched Software,Firewall,71.0,0.0002101290372718,Medium (24-72h),3,Standard: Moderate Impact
India,2017,Man-in-the-Middle,IT,38.65,605895,Hacker Group,Weak Passwords,VPN,20.0,6.378993059853605e-05,Fast (<24h),4,Standard: Moderate Impact
UK,2024,Ransomware,Telecommunications,41.44,659320,Nation-state,Social Engineering,AI-based Detection,7.0,6.285263604926287e-05,Fast (<24h),2,Critical: High Impact on Both
Germany,2018,Man-in-the-Middle,IT,74.41,810682,Insider,Social Engineering,VPN,68.0,9.178691521459708e-05,Medium (24-72h),5,Critical: High Impact on Both
Germany,2017,Man-in-the-Middle,Retail,98.24,285201,Unknown,Social Engineering,Antivirus,25.0,0.0003444588202706,Medium (24-72h),1,Targeted: High Financial Impact
Germany,2016,DDoS,Telecommunications,33.26,431262,Insider,Unpatched Software,VPN,34.0,7.712249166400007e-05,Medium (24-72h),4,Standard: Moderate Impact
France,2018,SQL Injection,Government,59.23,909991,Unknown,Social Engineering,Antivirus,66.0,6.508855582088174e-05,Medium (24-72h),5,Critical: High Impact on Both
India,2016,Man-in-the-Middle,Banking,16.88,698249,Unknown,Social Engineering,VPN,47.0,2.4174757142509333e-05,Medium (24-72h),0,Widespread: High User Impact
UK,2023,DDoS,Healthcare,69.14,685927,Hacker Group,Unpatched Software,Firewall,58.0,0.0001007978983186,Medium (24-72h),5,Critical: High Impact on Both
China,2019,Phishing,Telecommunications,88.67,493675,Unknown,Zero-day,VPN,29.0,0.0001796120929761,Medium (24-72h),1,Targeted: High Financial Impact
China,2016,SQL Injection,Healthcare,38.81,920768,Hacker Group,Unpatched Software,AI-based Detection,27.0,4.214959685827483e-05,Medium (24-72h),0,Widespread: High User Impact
India,2019,Ransomware,Education,30.56,583204,Insider,Zero-day,Firewall,37.0,5.2400189299113175e-05,Medium (24-72h),0,Widespread: High User Impact
France,2023,DDoS,Healthcare,58.37,599797,Nation-state,Unpatched Software,AI-based Detection,35.0,9.731625866751583e-05,Medium (24-72h),2,Critical: High Impact on Both
France,2024,DDoS,IT,48.01,922258,Unknown,Social Engineering,Encryption,64.0,5.205701658321207e-05,Medium (24-72h),5,Critical: High Impact on Both
Australia,2022,Phishing,Banking,64.31,120789,Nation-state,Zero-day,Encryption,36.0,0.0005324160312611,Medium (24-72h),1,Targeted: High Financial Impact
Russia,2017,Man-in-the-Middle,Healthcare,13.04,850158,Hacker Group,Unpatched Software,AI-based Detection,67.0,1.5338325346582633e-05,Medium (24-72h),0,Widespread: High User Impact
India,2015,DDoS,IT,93.14,805278,Insider,Social Engineering,Encryption,56.0,0.0001156619204796,Medium (24-72h),5,Critical: High Impact on Both
UK,2019,Malware,Telecommunications,14.01,578443,Insider,Social Engineering,Firewall,28.0,2.422019109920943e-05,Medium (24-72h),0,Widespread: High User Impact
India,2016,DDoS,IT,36.45,261808,Nation-state,Social Engineering,AI-based Detection,6.0,0.000139224164273,Fast (<24h),4,Standard: Moderate Impact
Brazil,2015,Ransomware,Retail,49.55,920172,Hacker Group,Weak Passwords,Antivirus,43.0,5.3848628299926535e-05,Medium (24-72h),0,Widespread: High User Impact
France,2023,Ransomware,Education,17.72,261661,Insider,Social Engineering,VPN,11.0,6.772121179694337e-05,Fast (<24h),4,Standard: Moderate Impact
India,2017,DDoS,Government,76.71,246205,Nation-state,Unpatched Software,Firewall,30.0,0.0003115696269369,Medium (24-72h),1,Targeted: High Financial Impact
